Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,1,Fri,2024-06-14,21:00,Germany de,2.1,5–1,0.0,sct Scotland,"65,052",Allianz Arena,Clément Turpin,Match Report,
Group stage,1,Sat,2024-06-15,15:00,Hungary hu,1.3,1–3,2.3,ch Switzerland,"41,676",RheinEnergieSTADION,Slavko Vinčič,Match Report,
Group stage,1,Sat,2024-06-15,18:00,Spain es,2.0,3–0,2.1,hr Croatia,"68,844",Olympiastadion Berlin,Michael Oliver,Match Report,
Group stage,1,Sat,2024-06-15,21:00,Italy it,1.5,2–1,0.5,al Albania,"60,512",Signal Iduna Park,Felix Zwayer,Match Report,
Group stage,1,Sun,2024-06-16,15:00,Poland pl,1.3,1–2,1.4,nl Netherlands,"48,117",Volksparkstadion,Artur Soares Dias,Match Report,
Group stage,1,Sun,2024-06-16,18:00,Slovenia si,1.1,1–1,1.7,dk Denmark,"54,000",MHPArena,Sandro Schärer,Match Report,
Group stage,1,Sun,2024-06-16,21:00,Serbia rs,0.2,0–1,0.5,eng England,"48,953",Veltins-Arena,Daniele Orsato,Match Report,
Group stage,1,Mon,2024-06-17,15:00,Romania ro,1.1,3–0,0.7,ua Ukraine,"61,591",Allianz Arena,Glenn Nyberg,Match Report,
Group stage,1,Mon,2024-06-17,18:00,Belgium be,1.6,0–1,0.6,sk Slovakia,"45,181",Deutsche Bank Park,Halil Umut Meler,Match Report,
Group stage,1,Mon,2024-06-17,21:00,Austria at,0.8,0–1,2.0,fr France,"46,425",Merkur Spielarena,Jesús Gil,Match Report,
Group stage,1,Tue,2024-06-18,18:00,Türkiye tr,3.0,3–1,1.4,ge Georgia,"59,127",Signal Iduna Park,Facundo Tello,Match Report,
Group stage,1,Tue,2024-06-18,21:00,Portugal pt,1.9,2–1,0.4,cz Czechia,"38,421",Red Bull Arena,Marco Guida,Match Report,
Group stage,2,Wed,2024-06-19,15:00,Croatia hr,2.6,2–2,1.5,al Albania,"46,784",Volksparkstadion,François Letexier,Match Report,
Group stage,2,Wed,2024-06-19,18:00,Germany de,1.4,2–0,1.2,hu Hungary,"54,000",MHPArena,Danny Makkelie,Match Report,
Group stage,2,Wed,2024-06-19,21:00,Scotland sct,0.7,1–1,1.1,ch Switzerland,"42,711",RheinEnergieSTADION,Ivan Kružliak,Match Report,
Group stage,2,Thu,2024-06-20,15:00,Slovenia si,1.4,1–1,1.6,rs Serbia,"63,028",Allianz Arena,István Kovács,Match Report,
Group stage,2,Thu,2024-06-20,18:00,Denmark dk,0.8,1–1,0.9,eng England,"46,177",Deutsche Bank Park,Artur Soares Dias,Match Report,
Group stage,2,Thu,2024-06-20,21:00,Spain es,2.0,1–0,0.2,it Italy,"49,528",Veltins-Arena,Slavko Vinčič,Match Report,
Group stage,2,Fri,2024-06-21,15:00,Slovakia sk,0.8,1–2,1.5,ua Ukraine,"43,910",Merkur Spielarena,Michael Oliver,Match Report,
Group stage,2,Fri,2024-06-21,18:00,Poland pl,1.6,1–3,2.1,at Austria,"69,455",Olympiastadion Berlin,Halil Umut Meler,Match Report,
Group stage,2,Fri,2024-06-21,21:00,Netherlands nl,0.5,0–0,1.4,fr France,"38,531",Red Bull Arena,Anthony Taylor,Match Report,
Group stage,2,Sat,2024-06-22,15:00,Georgia ge,1.1,1–1,3.0,cz Czechia,"46,524",Volksparkstadion,Daniel Siebert,Match Report,
Group stage,2,Sat,2024-06-22,18:00,Türkiye tr,0.7,0–3,1.9,pt Portugal,"61,047",Signal Iduna Park,Felix Zwayer,Match Report,
Group stage,2,Sat,2024-06-22,21:00,Belgium be,1.7,2–0,0.9,ro Romania,"42,535",RheinEnergieSTADION,Szymon Marciniak,Match Report,
Group stage,3,Sun,2024-06-23,21:00,Scotland sct,0.2,0–1,1.2,hu Hungary,"54,000",MHPArena,Facundo Tello,Match Report,
Group stage,3,Sun,2024-06-23,21:00,Switzerland ch,0.6,1–1,1.6,de Germany,"46,685",Deutsche Bank Park,Daniele Orsato,Match Report,
Group stage,3,Mon,2024-06-24,21:00,Croatia hr,1.0,1–1,0.9,it Italy,"38,322",Red Bull Arena,Danny Makkelie,Match Report,
Group stage,3,Mon,2024-06-24,21:00,Albania al,0.5,0–1,1.5,es Spain,"46,586",Merkur Spielarena,Glenn Nyberg,Match Report,
Group stage,3,Tue,2024-06-25,18:00,France fr,2.3,1–1,1.1,pl Poland,"59,728",Signal Iduna Park,Marco Guida,Match Report,
Group stage,3,Tue,2024-06-25,18:00,Netherlands nl,1.6,2–3,0.9,at Austria,"68,363",Olympiastadion Berlin,Ivan Kružliak,Match Report,
Group stage,3,Tue,2024-06-25,21:00,England eng,0.9,0–0,0.1,si Slovenia,"41,536",RheinEnergieSTADION,Clément Turpin,Match Report,
Group stage,3,Tue,2024-06-25,21:00,Denmark dk,0.7,0–0,0.3,rs Serbia,"64,288",Allianz Arena,François Letexier,Match Report,
Group stage,3,Wed,2024-06-26,18:00,Ukraine ua,,,,be Belgium,,MHPArena,,Head-to-Head,
Group stage,3,Wed,2024-06-26,18:00,Slovakia sk,,,,ro Romania,,Deutsche Bank Park,,Head-to-Head,
Group stage,3,Wed,2024-06-26,21:00,Czechia cz,,,,tr Türkiye,,Volksparkstadion,,Head-to-Head,
Group stage,3,Wed,2024-06-26,21:00,Georgia ge,,,,pt Portugal,,Veltins-Arena,,Head-to-Head,
Round of 16,,Sat,2024-06-29,18:00,Switzerland ch,,,,it Italy,,Olympiastadion Berlin,,Head-to-Head,
Round of 16,,Sat,2024-06-29,21:00,Germany de,,,,dk Denmark,,Signal Iduna Park,,Head-to-Head,
